model,dataset,layer_name,layer_idx,method,error,ft_method,cos_sim
ViT-L/14,Cars,model.visual.transformer.resblocks.10.mlp.c_fc.weight,20,EigenCov,0.6610020399093628,standard,0.3389979600906372
ViT-L/14,Cars,model.visual.transformer.resblocks.10.mlp.c_fc.weight,20,Identity,0.8935055732727051,standard,0.10649442672729492
ViT-L/14,Cars,model.visual.transformer.resblocks.10.mlp.c_proj.weight,21,EigenCov,0.4214186072349548,standard,0.5785813927650452
ViT-L/14,Cars,model.visual.transformer.resblocks.10.mlp.c_proj.weight,21,Identity,0.9301095008850098,standard,0.06989049911499023
ViT-L/14,Cars,model.visual.transformer.resblocks.11.mlp.c_fc.weight,22,EigenCov,0.650681734085083,standard,0.349318265914917
ViT-L/14,Cars,model.visual.transformer.resblocks.11.mlp.c_fc.weight,22,Identity,0.8907741904258728,standard,0.1092258095741272
ViT-L/14,Cars,model.visual.transformer.resblocks.11.mlp.c_proj.weight,23,EigenCov,0.5042429566383362,standard,0.4957570433616638
ViT-L/14,Cars,model.visual.transformer.resblocks.11.mlp.c_proj.weight,23,Identity,0.9365518093109132,standard,0.0634481906890868
ViT-L/14,Cars,model.visual.transformer.resblocks.12.mlp.c_fc.weight,24,EigenCov,0.6448771357536316,standard,0.3551228642463684
ViT-L/14,Cars,model.visual.transformer.resblocks.12.mlp.c_fc.weight,24,Identity,0.8855286836624146,standard,0.11447131633758545
ViT-L/14,Cars,model.visual.transformer.resblocks.12.mlp.c_proj.weight,25,EigenCov,0.8212238550186157,standard,0.17877614498138428
ViT-L/14,Cars,model.visual.transformer.resblocks.12.mlp.c_proj.weight,25,Identity,0.9657292366027832,standard,0.0342707633972168
ViT-L/14,Cars,model.visual.transformer.resblocks.13.mlp.c_fc.weight,26,EigenCov,0.5384572148323059,standard,0.4615427851676941
ViT-L/14,Cars,model.visual.transformer.resblocks.13.mlp.c_fc.weight,26,Identity,0.8674123883247375,standard,0.13258761167526245
ViT-L/14,Cars,model.visual.transformer.resblocks.13.mlp.c_proj.weight,27,EigenCov,0.3329760432243347,standard,0.6670239567756653
ViT-L/14,Cars,model.visual.transformer.resblocks.13.mlp.c_proj.weight,27,Identity,0.930361270904541,standard,0.06963872909545898
ViT-L/14,Cars,model.visual.transformer.resblocks.14.mlp.c_fc.weight,28,EigenCov,0.4804878830909729,standard,0.5195121169090271
ViT-L/14,Cars,model.visual.transformer.resblocks.14.mlp.c_fc.weight,28,Identity,0.8501954078674316,standard,0.14980459213256836
ViT-L/14,Cars,model.visual.transformer.resblocks.14.mlp.c_proj.weight,29,EigenCov,0.339114785194397,standard,0.660885214805603
ViT-L/14,Cars,model.visual.transformer.resblocks.14.mlp.c_proj.weight,29,Identity,0.91989666223526,standard,0.08010333776473999
ViT-L/14,Cars,model.visual.transformer.resblocks.15.mlp.c_fc.weight,30,EigenCov,0.4632614254951477,standard,0.5367385745048523
ViT-L/14,Cars,model.visual.transformer.resblocks.15.mlp.c_fc.weight,30,Identity,0.8385487794876099,standard,0.16145122051239014
ViT-L/14,Cars,model.visual.transformer.resblocks.15.mlp.c_proj.weight,31,EigenCov,0.3640051484107971,standard,0.6359948515892029
ViT-L/14,Cars,model.visual.transformer.resblocks.15.mlp.c_proj.weight,31,Identity,0.915225088596344,standard,0.084774911403656
ViT-L/14,Cars,model.visual.transformer.resblocks.16.mlp.c_fc.weight,32,EigenCov,0.4093927145004272,standard,0.5906072854995728
ViT-L/14,Cars,model.visual.transformer.resblocks.16.mlp.c_fc.weight,32,Identity,0.8334367275238037,standard,0.1665632724761963
ViT-L/14,Cars,model.visual.transformer.resblocks.16.mlp.c_proj.weight,33,EigenCov,0.3917807340621948,standard,0.6082192659378052
ViT-L/14,Cars,model.visual.transformer.resblocks.16.mlp.c_proj.weight,33,Identity,0.913573920726776,standard,0.08642607927322399
ViT-L/14,Cars,model.visual.transformer.resblocks.17.mlp.c_fc.weight,34,EigenCov,0.3894433975219726,standard,0.6105566024780273
ViT-L/14,Cars,model.visual.transformer.resblocks.17.mlp.c_fc.weight,34,Identity,0.8243461847305298,standard,0.17565381526947021
ViT-L/14,Cars,model.visual.transformer.resblocks.17.mlp.c_proj.weight,35,EigenCov,0.4776281714439392,standard,0.5223718285560608
ViT-L/14,Cars,model.visual.transformer.resblocks.17.mlp.c_proj.weight,35,Identity,0.8983643651008606,standard,0.1016356348991394
ViT-L/14,Cars,model.visual.transformer.resblocks.18.mlp.c_fc.weight,36,EigenCov,0.410976231098175,standard,0.589023768901825
ViT-L/14,Cars,model.visual.transformer.resblocks.18.mlp.c_fc.weight,36,Identity,0.8206733465194702,standard,0.17932665348052979
ViT-L/14,Cars,model.visual.transformer.resblocks.18.mlp.c_proj.weight,37,EigenCov,0.5665501952171326,standard,0.43344980478286743
ViT-L/14,Cars,model.visual.transformer.resblocks.18.mlp.c_proj.weight,37,Identity,0.888891875743866,standard,0.11110812425613403
ViT-L/14,Cars,model.visual.transformer.resblocks.19.mlp.c_fc.weight,38,EigenCov,0.5066879987716675,standard,0.4933120012283325
ViT-L/14,Cars,model.visual.transformer.resblocks.19.mlp.c_fc.weight,38,Identity,0.834672212600708,standard,0.165327787399292
ViT-L/14,Cars,model.visual.transformer.resblocks.19.mlp.c_proj.weight,39,EigenCov,0.7484570145606995,standard,0.25154298543930054
ViT-L/14,Cars,model.visual.transformer.resblocks.19.mlp.c_proj.weight,39,Identity,0.9235574007034302,standard,0.07644259929656982
ViT-L/14,Cars,model.visual.transformer.resblocks.20.mlp.c_fc.weight,40,EigenCov,0.5852103233337402,standard,0.41478967666625977
ViT-L/14,Cars,model.visual.transformer.resblocks.20.mlp.c_fc.weight,40,Identity,0.8555899262428284,standard,0.14441007375717163
ViT-L/14,Cars,model.visual.transformer.resblocks.20.mlp.c_proj.weight,41,EigenCov,0.9825716614723206,standard,0.017428338527679443
ViT-L/14,Cars,model.visual.transformer.resblocks.20.mlp.c_proj.weight,41,Identity,0.9778128266334534,standard,0.02218717336654663
ViT-L/14,Cars,model.visual.transformer.resblocks.21.mlp.c_fc.weight,42,EigenCov,0.7921297550201416,standard,0.2078702449798584
ViT-L/14,Cars,model.visual.transformer.resblocks.21.mlp.c_fc.weight,42,Identity,0.9064814448356628,standard,0.09351855516433716
ViT-L/14,Cars,model.visual.transformer.resblocks.21.mlp.c_proj.weight,43,EigenCov,0.972829282283783,standard,0.02717071771621704
ViT-L/14,Cars,model.visual.transformer.resblocks.21.mlp.c_proj.weight,43,Identity,0.9721492528915404,standard,0.027850747108459584
ViT-L/14,Cars,model.visual.transformer.resblocks.22.mlp.c_fc.weight,44,EigenCov,0.851653516292572,standard,0.14834648370742798
ViT-L/14,Cars,model.visual.transformer.resblocks.22.mlp.c_fc.weight,44,Identity,0.9121702909469604,standard,0.08782970905303955
