dataset,layer_name,layer_idx,method,error,k,ft_method
DTD,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.8371712921173318,8,standard
DTD,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.7408447504714338,32,standard
DTD,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.6172251087098717,64,standard
DTD,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.709126677471252,8,standard
DTD,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7475939502840296,32,standard
DTD,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7395458661362637,64,standard
DTD,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.849743414109024,8,standard
DTD,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.763526934445262,32,standard
DTD,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.6818364594739643,64,standard
DTD,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.6867324493389949,8,standard
DTD,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.7287763633818712,32,standard
DTD,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.695942393820847,64,standard
DTD,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.8060725441949679,8,standard
DTD,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.7265624412425021,32,standard
DTD,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.6096812406625833,64,standard
DTD,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.5958315624299365,8,standard
DTD,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.6461745183764286,32,standard
DTD,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.6098364377387242,64,standard
DTD,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.8570252195361544,8,standard
DTD,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.763600023497856,32,standard
DTD,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.6653291065058959,64,standard
DTD,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.66746355631913,8,standard
DTD,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6540059405999381,32,standard
DTD,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.636347551383661,64,standard
DTD,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8430821143464643,8,standard
DTD,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.7431500607580627,32,standard
DTD,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.6618271167364489,64,standard
DTD,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.7312328424358696,8,standard
DTD,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.688050359796159,32,standard
DTD,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6523090963460545,64,standard
DTD,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.8172869377581121,8,standard
DTD,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.6993113865360318,32,standard
DTD,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.6358806700083952,64,standard
DTD,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.730039000913799,8,standard
DTD,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.6969264403066353,32,standard
DTD,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.6745383264548149,64,standard
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.9131808480222088,8,standard
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.6882148369960128,32,standard
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.537255166905116,64,standard
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7133041836954004,8,standard
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7066484112253643,32,standard
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.6923741512164507,64,standard
EuroSAT,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8050817099313139,8,standard
EuroSAT,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.6160678926305397,32,standard
EuroSAT,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.5192645624677885,64,standard
EuroSAT,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.7023018664434543,8,standard
EuroSAT,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.5914146117471429,32,standard
EuroSAT,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.5959401522538655,64,standard
EuroSAT,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.7703426227572441,8,standard
EuroSAT,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.6384033060773027,32,standard
EuroSAT,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.5081908147119423,64,standard
EuroSAT,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.6634850326258325,8,standard
EuroSAT,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.5941668277826728,32,standard
EuroSAT,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.5659240131998505,64,standard
EuroSAT,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.7871136088607003,8,standard
EuroSAT,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.6318174565408422,32,standard
EuroSAT,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.5451172838222315,64,standard
EuroSAT,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6689800200028714,8,standard
EuroSAT,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6163454915065083,32,standard
EuroSAT,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.585503319638123,64,standard
EuroSAT,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.7410838729518737,8,standard
EuroSAT,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.6304108947511631,32,standard
EuroSAT,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.5806247052414598,64,standard
EuroSAT,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6668113894643756,8,standard
EuroSAT,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6320978458945896,32,standard
EuroSAT,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6154687255648029,64,standard
EuroSAT,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7422084891598134,8,standard
EuroSAT,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.6174511110003376,32,standard
EuroSAT,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.5829009796188527,64,standard
EuroSAT,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.7495510411416695,8,standard
EuroSAT,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.6510524881861205,32,standard
EuroSAT,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.6348462378585967,64,standard
GTSRB,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.9057388584379614,8,standard
GTSRB,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.6637186814767829,32,standard
GTSRB,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.582430796985488,64,standard
GTSRB,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7373310559804636,8,standard
GTSRB,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7297792181651883,32,standard
GTSRB,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.717370063285011,64,standard
GTSRB,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.7671197282486579,8,standard
GTSRB,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.62736610785312,32,standard
GTSRB,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.5669233078209188,64,standard
GTSRB,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.662618535612443,8,standard
GTSRB,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.6754704030014722,32,standard
GTSRB,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.6317835810347631,64,standard
GTSRB,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.6752446962795847,8,standard
GTSRB,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.6214850149449399,32,standard
GTSRB,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.5302509217477541,64,standard
GTSRB,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.6104469581122098,8,standard
GTSRB,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.640668905718616,32,standard
GTSRB,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.6250418048690066,64,standard
GTSRB,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.6274265860926748,8,standard
GTSRB,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.6000628926773975,32,standard
GTSRB,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.5391261454462594,64,standard
GTSRB,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.5996297246652541,8,standard
GTSRB,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6176218667751939,32,standard
GTSRB,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6132748688033948,64,standard
GTSRB,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.7143715951088722,8,standard
GTSRB,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.6463106078311852,32,standard
GTSRB,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.5896917434191563,64,standard
GTSRB,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6711834778505695,8,standard
GTSRB,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6689789467421872,32,standard
GTSRB,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6535269190750678,64,standard
GTSRB,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7270607025151422,8,standard
GTSRB,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.6733576893446231,32,standard
GTSRB,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.6276165964586244,64,standard
GTSRB,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.7857055981690975,8,standard
GTSRB,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.7142522485207891,32,standard
GTSRB,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.6901911468667239,64,standard
MNIST,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.8596948481620351,8,standard
MNIST,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.7316492675813395,32,standard
MNIST,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.6556794911374927,64,standard
MNIST,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7161236931758297,8,standard
MNIST,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7249015703337016,32,standard
MNIST,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.705104789028456,64,standard
MNIST,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.7273945939139971,8,standard
MNIST,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.6524084457345396,32,standard
MNIST,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.5928961266682677,64,standard
MNIST,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.6897914032780693,8,standard
MNIST,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.6980647405882985,32,standard
MNIST,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.6583591261308703,64,standard
MNIST,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.7013831552977785,8,standard
MNIST,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.6039294216182988,32,standard
MNIST,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.5405275864274599,64,standard
MNIST,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.5850533420088514,8,standard
MNIST,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.6769717337095662,32,standard
MNIST,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.6643438137726262,64,standard
MNIST,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.7102937411392518,8,standard
MNIST,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.6089209424083792,32,standard
MNIST,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.5457766626956054,64,standard
MNIST,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.7179470557522182,8,standard
MNIST,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6811679683326539,32,standard
MNIST,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6602311292003892,64,standard
MNIST,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.7507631817584057,8,standard
MNIST,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.6339848528295512,32,standard
MNIST,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.5762816535667163,64,standard
MNIST,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.7118442808497164,8,standard
MNIST,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6890710843698681,32,standard
MNIST,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6799488228603452,64,standard
MNIST,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7868574751984158,8,standard
MNIST,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.6418829245415496,32,standard
MNIST,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.5843722403115689,64,standard
MNIST,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.8325456995575297,8,standard
MNIST,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.7109628118497825,32,standard
MNIST,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.6807016614888621,64,standard
SVHN,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.896185389446652,8,standard
SVHN,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.6902944942237884,32,standard
SVHN,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.638101619853511,64,standard
SVHN,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.6814339759932331,8,standard
SVHN,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7291174992903444,32,standard
SVHN,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7062467207666914,64,standard
SVHN,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.6821410937950186,8,standard
SVHN,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.6287229240100864,32,standard
SVHN,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.5676377076626068,64,standard
SVHN,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.6480565883122428,8,standard
SVHN,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.63599839719918,32,standard
SVHN,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.6124898144492926,64,standard
SVHN,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.6062709544530194,8,standard
SVHN,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.5583480940233313,32,standard
SVHN,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.4804616506650199,64,standard
SVHN,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.5791732686983213,8,standard
SVHN,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.6193549144650069,32,standard
SVHN,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.6044108010805338,64,standard
SVHN,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.5143344783097757,8,standard
SVHN,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.5599989299447345,32,standard
SVHN,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.5096900032892647,64,standard
SVHN,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6763069023787381,8,standard
SVHN,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6176219741012623,32,standard
SVHN,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6061668427161441,64,standard
SVHN,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.6788635166545726,8,standard
SVHN,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.5721920299258013,32,standard
SVHN,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.5291220432599325,64,standard
SVHN,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.7199956420831862,8,standard
SVHN,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6588594400660303,32,standard
SVHN,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6317632422492345,64,standard
SVHN,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7287802807833685,8,standard
SVHN,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.5906350488491737,32,standard
SVHN,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.5526317820560888,64,standard
SVHN,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.8180713303291601,8,standard
SVHN,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.6974388149572727,32,standard
SVHN,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.6511458392394106,64,standard
Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.9632983655619846,8,lora
Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.9326611733968612,32,lora
Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.8857465965573221,64,lora
Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9838564593157112,8,lora
Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9761861871839344,32,lora
Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.959859081966361,64,lora
Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.9451383654810358,8,lora
Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.9250970467467517,32,lora
Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8837131733504185,64,lora
Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9851803263696727,8,lora
Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.963692466885223,32,lora
Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.940046448676942,64,lora
Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.9224755001995233,8,lora
Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.9194084431422831,32,lora
Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.8712424621818277,64,lora
Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9817615617862199,8,lora
Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9496632325256258,32,lora
Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9320290967381902,64,lora
Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.9213308676798233,8,lora
Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.9216163550218206,32,lora
Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.8690654532203723,64,lora
Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9686826997624823,8,lora
Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9451222665707728,32,lora
Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9336306243165766,64,lora
Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.9145141597701912,8,lora
Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.9207748113193389,32,lora
Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8677040447368072,64,lora
Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9824234416501665,8,lora
Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9565611862690517,32,lora
Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9389493685142564,64,lora
Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.9135289064620951,8,lora
Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.9106918491694791,32,lora
Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.8658970043553942,64,lora
Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9669119269596197,8,lora
Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9574654083954908,32,lora
Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9354298479259395,64,lora
DTD,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.9656191844655,8,lora
DTD,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.9289776354026161,32,lora
DTD,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.8875687392459,64,lora
DTD,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9878437300835851,8,lora
DTD,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9710548205267027,32,lora
DTD,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9574241954182423,64,lora
DTD,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.9432591933490689,8,lora
DTD,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.915573146087292,32,lora
DTD,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8829559330444364,64,lora
DTD,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9853761964445393,8,lora
DTD,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9618810175024292,32,lora
DTD,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9404688579316118,64,lora
DTD,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.9207205043287183,8,lora
DTD,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.9201122874989819,32,lora
DTD,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.8715423074863913,64,lora
DTD,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9781547619308952,8,lora
DTD,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.954099770215906,32,lora
DTD,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9366023637334584,64,lora
DTD,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.9320010107500093,8,lora
DTD,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.9218462474603765,32,lora
DTD,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.8683787156448229,64,lora
DTD,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9724117440097375,8,lora
DTD,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9478268834949585,32,lora
DTD,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9345334994338615,64,lora
DTD,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.9295910038836368,8,lora
DTD,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.9207315589137657,32,lora
DTD,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8680850934015032,64,lora
DTD,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9846809381733141,8,lora
DTD,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9655676679526584,32,lora
DTD,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9437308044972283,64,lora
DTD,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.930704297191358,8,lora
DTD,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.9136600589177044,32,lora
DTD,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.8662116484031595,64,lora
DTD,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9822981921283203,8,lora
DTD,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9661992818653105,32,lora
DTD,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9355631883967364,64,lora
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.9609112191481854,8,lora
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.9337459179703828,32,lora
