dataset,layer_name,layer_idx,method,error,k,ft_method
DTD,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9615989645946212,8,linear
DTD,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9538161074170718,32,linear
DTD,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9360161817206898,64,linear
DTD,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.8628764757973137,8,linear
DTD,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.7925944828597419,32,linear
DTD,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.7062063467595975,64,linear
DTD,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9749703974808719,8,linear
DTD,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9571467572983516,32,linear
DTD,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9402194042449248,64,linear
DTD,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8649110560763529,8,linear
DTD,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.794937679248523,32,linear
DTD,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.7563778048718893,64,linear
DTD,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.968573012520557,8,linear
DTD,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.951536609049898,32,linear
DTD,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9368628216138082,64,linear
DTD,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.809725172281508,8,linear
DTD,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7682315726544555,32,linear
DTD,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7316769569754736,64,linear
DTD,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9451556449780515,8,linear
DTD,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.952173052635629,32,linear
DTD,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9368576610264353,64,linear
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.9105576915839539,8,linear
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.7517776814201464,32,linear
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.6748783180935,64,linear
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9582266721987943,8,linear
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.8835462423252315,32,linear
EuroSAT,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.8579071249553041,64,linear
EuroSAT,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8916498971212885,8,linear
EuroSAT,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8282940310201029,32,linear
EuroSAT,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.75841972786976,64,linear
EuroSAT,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9622575173504467,8,linear
EuroSAT,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9242524979143543,32,linear
EuroSAT,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9045531429819983,64,linear
EuroSAT,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.8893066470694732,8,linear
EuroSAT,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.8449694969226653,32,linear
EuroSAT,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.7621487075926239,64,linear
EuroSAT,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9617172379220201,8,linear
EuroSAT,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9452015805353352,32,linear
EuroSAT,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9236929267471804,64,linear
EuroSAT,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.9052129607027032,8,linear
EuroSAT,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.8242825045607661,32,linear
EuroSAT,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.7411412465443972,64,linear
EuroSAT,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9714728555631988,8,linear
EuroSAT,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9493564946220813,32,linear
EuroSAT,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9313343906086091,64,linear
EuroSAT,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8902745135544853,8,linear
EuroSAT,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8284335012460148,32,linear
EuroSAT,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.7708340520322028,64,linear
EuroSAT,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.966725501578774,8,linear
EuroSAT,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9445571948205411,32,linear
EuroSAT,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9268010422744901,64,linear
EuroSAT,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.8348737093076293,8,linear
EuroSAT,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.8059565247150058,32,linear
EuroSAT,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7674647197146355,64,linear
EuroSAT,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9493732374887548,8,linear
EuroSAT,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9469882375963241,32,linear
EuroSAT,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9310140547365355,64,linear
GTSRB,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.8770404580358123,8,linear
GTSRB,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.7594008374078868,32,linear
GTSRB,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.6684571054727895,64,linear
GTSRB,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9647106692963242,8,linear
GTSRB,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.8801620903988442,32,linear
GTSRB,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.8425639397857689,64,linear
GTSRB,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8891591273884298,8,linear
GTSRB,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8126272691715866,32,linear
GTSRB,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.7451784195808101,64,linear
GTSRB,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.963829414948527,8,linear
GTSRB,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9163202428495641,32,linear
GTSRB,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.8982641324672229,64,linear
GTSRB,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.8713406925202279,8,linear
GTSRB,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.8328246936723875,32,linear
GTSRB,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.7563245293963632,64,linear
GTSRB,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9703968044012192,8,linear
GTSRB,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9464679208166236,32,linear
GTSRB,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9263381072307448,64,linear
GTSRB,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.8697649311836846,8,linear
GTSRB,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.7927877771089664,32,linear
