model,dataset_i,layer_name,layer_idx,kappa_i,dataset_j,kappa_j,rho
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.v.weight,30,7196491.0,SVHN,5525886.5,1.3023233466702582
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.o.weight,31,174123.140625,Cars,174123.140625,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.o.weight,31,174123.140625,DTD,169276.921875,1.028628939469839
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.o.weight,31,174123.140625,EuroSAT,307795.0625,0.5657112859794494
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.o.weight,31,174123.140625,GTSRB,324283.59375,0.5369471166007762
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.o.weight,31,174123.140625,MNIST,192140.5625,0.9062279112719888
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.o.weight,31,174123.140625,SVHN,340519.59375,0.5113454374459179
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.q.weight,32,3264126.25,Cars,3264126.25,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.q.weight,32,3264126.25,DTD,3278041.75,0.9957549350919646
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.q.weight,32,3264126.25,EuroSAT,3417106.25,0.955231125751504
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.q.weight,32,3264126.25,GTSRB,2961235.0,1.1022854484699796
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.q.weight,32,3264126.25,MNIST,1682738.125,1.939770782812685
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.q.weight,32,3264126.25,SVHN,1355689.0,2.4077249649440247
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.k.weight,33,3334180.25,Cars,3334180.25,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.k.weight,33,3334180.25,DTD,3071627.75,1.0854766662399111
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.k.weight,33,3334180.25,EuroSAT,3062855.0,1.088585731286659
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.k.weight,33,3334180.25,GTSRB,3255455.75,1.0241823283882756
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.k.weight,33,3334180.25,MNIST,2015394.625,1.6543560296534978
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.k.weight,33,3334180.25,SVHN,1806073.25,1.8460935900578783
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.v.weight,34,5756871.5,Cars,5756871.5,1.0
