task,layer,layer_idx,entry_idx,rho,ft_method
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,22,0.0355205801780347,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,23,0.0608118363571196,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,24,0.0198008497297199,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,25,0.013755842081155,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,26,0.0931599200069026,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,27,0.0012042145106949,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,28,0.0218038099877493,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,29,0.0406702928986642,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,30,0.0398851055757561,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,31,0.0346631463072035,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,0,0.0200816078490927,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,1,0.0060686358958321,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,2,0.133076953357592,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,3,0.012885520827977,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,4,0.0869769769983598,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,5,0.0090408759277701,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,6,0.0333054764008535,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,7,0.0102573947102396,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,8,0.0566363792977909,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,9,0.0062749046110685,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,10,0.2713052426609367,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,11,0.077371770226833,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,12,0.1188604240382395,standard
