checkpoint,dataset,layer,cosine_similarity,cosine_similarity_accum
0,Cars,image_encoder.model.visual.transformer.resblocks.7.attn,0.8904279470443726,0.8904279470443726
0,Cars,image_encoder.model.visual.transformer.resblocks.7.mlp.c_fc,0.9319521188735962,0.9319521188735962
0,Cars,image_encoder.model.visual.transformer.resblocks.7.mlp.c_proj,1.000313401222229,1.000313401222229
0,Cars,image_encoder.model.visual.transformer.resblocks.8.attn.q,0.8884523510932922,0.8884523510932922
0,Cars,image_encoder.model.visual.transformer.resblocks.8.attn.k,0.8884523510932922,0.8884523510932922
0,Cars,image_encoder.model.visual.transformer.resblocks.8.attn.v,0.8884523510932922,0.8884523510932922
0,Cars,image_encoder.model.visual.transformer.resblocks.8.attn.o,0.7988314032554626,0.7988314032554626
0,Cars,image_encoder.model.visual.transformer.resblocks.8.attn,0.8884523510932922,0.8884523510932922
0,Cars,image_encoder.model.visual.transformer.resblocks.8.mlp.c_fc,0.913979709148407,0.913979709148407
0,Cars,image_encoder.model.visual.transformer.resblocks.8.mlp.c_proj,0.9389154314994812,0.9389154314994812
0,Cars,image_encoder.model.visual.transformer.resblocks.9.attn.q,0.882799506187439,0.882799506187439
0,Cars,image_encoder.model.visual.transformer.resblocks.9.attn.k,0.882799506187439,0.882799506187439
0,Cars,image_encoder.model.visual.transformer.resblocks.9.attn.v,0.882799506187439,0.882799506187439
0,Cars,image_encoder.model.visual.transformer.resblocks.9.attn.o,0.7682501077651978,0.7682501077651978
0,Cars,image_encoder.model.visual.transformer.resblocks.9.attn,0.882799506187439,0.882799506187439
0,Cars,image_encoder.model.visual.transformer.resblocks.9.mlp.c_fc,0.8688753843307495,0.8688753843307495
0,Cars,image_encoder.model.visual.transformer.resblocks.9.mlp.c_proj,0.8550068140029907,0.8550068140029907
0,Cars,image_encoder.model.visual.transformer.resblocks.10.attn.q,0.8996049761772156,0.8996049761772156
0,Cars,image_encoder.model.visual.transformer.resblocks.10.attn.k,0.8996049761772156,0.8996049761772156
0,Cars,image_encoder.model.visual.transformer.resblocks.10.attn.v,0.8996049761772156,0.8996049761772156
0,Cars,image_encoder.model.visual.transformer.resblocks.10.attn.o,0.7643932700157166,0.7643932700157166
0,Cars,image_encoder.model.visual.transformer.resblocks.10.attn,0.8996049761772156,0.8996049761772156
0,Cars,image_encoder.model.visual.transformer.resblocks.10.mlp.c_fc,0.9127440452575684,0.9127440452575684
0,Cars,image_encoder.model.visual.transformer.resblocks.10.mlp.c_proj,0.7983037829399109,0.7983037829399109
