model,dataset,layer_name,layer_idx,method,error,ft_method
ViT-B-16,Cars,model.visual.transformer.resblocks.7.mlp.c_proj.weight,15,Identity,0.9731079936027527,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.mlp.c_fc.weight,16,EigenCov,0.5500504970550537,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.mlp.c_fc.weight,16,Random,1.0019406080245972,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.mlp.c_fc.weight,16,Identity,0.8482038974761963,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.mlp.c_proj.weight,17,EigenCov,0.6509190201759338,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.mlp.c_proj.weight,17,Random,1.0001949071884155,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.mlp.c_proj.weight,17,Identity,0.91038578748703,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.mlp.c_fc.weight,18,EigenCov,0.4725762605667114,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.mlp.c_fc.weight,18,Random,0.9993987679481506,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.mlp.c_fc.weight,18,Identity,0.8227558135986328,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.mlp.c_proj.weight,19,EigenCov,0.8390541076660156,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.mlp.c_proj.weight,19,Random,0.9997465014457703,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.mlp.c_proj.weight,19,Identity,0.8458122611045837,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.mlp.c_fc.weight,20,EigenCov,0.6552903652191162,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.mlp.c_fc.weight,20,Random,0.9986377954483032,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.mlp.c_fc.weight,20,Identity,0.8608990907669067,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.mlp.c_proj.weight,21,EigenCov,0.9081476330757141,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.mlp.c_proj.weight,21,Random,0.9999756813049316,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.mlp.c_proj.weight,21,Identity,0.8653400540351868,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.mlp.c_fc.weight,22,EigenCov,0.960099995136261,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.mlp.c_fc.weight,22,Random,1.0012317895889282,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.mlp.c_fc.weight,22,Identity,0.9262823462486267,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.mlp.c_proj.weight,23,EigenCov,0.803071141242981,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.mlp.c_proj.weight,23,Random,1.0002177953720093,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.mlp.c_proj.weight,23,Identity,0.9627112150192261,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.q.weight,24,EigenCov,0.8044396042823792,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.q.weight,24,Random,0.999733567237854,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.q.weight,24,Identity,0.8036326766014099,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.k.weight,25,EigenCov,0.7914580702781677,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.k.weight,25,Random,0.9999498128890991,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.k.weight,25,Identity,0.8036326766014099,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.v.weight,26,EigenCov,0.7514200210571289,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.v.weight,26,Random,0.9997601509094238,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.v.weight,26,Identity,0.8036326766014099,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.o.weight,27,EigenCov,0.757527232170105,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.o.weight,27,Random,1.0006567239761353,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.o.weight,27,Identity,0.8413239121437073,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.q.weight,28,EigenCov,0.9859297275543213,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.q.weight,28,Random,1.000483512878418,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.q.weight,28,Identity,0.9031730890274048,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.k.weight,29,EigenCov,0.9391767382621765,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.k.weight,29,Random,0.9994121789932251,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.k.weight,29,Identity,0.9031730890274048,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.v.weight,30,EigenCov,0.9462119936943054,standard
